gene	transcript	type	TSS	PolyA	strand
gene-STK35	rna-NM_080836.4	mRNA	2131851	2178590	+
gene-LOC124900458	rna-XR_007089359.1	lnc_RNA	2147711	2171616	+
gene-LOC105372502	rna-XR_007089360.1	lnc_RNA	2224042	2231416	+
gene-LINC03086	rna-NR_161305.1	lnc_RNA	2236947	2243174	+
gene-LOC124904860	rna-XR_007089361.1	lnc_RNA	2255220	2266693	+
gene-LOC105372503	rna-XR_007089362.1	lnc_RNA	2331671	2325960	-
gene-TGM3	rna-NM_003245.4	mRNA	2326140	2371230	+
gene-TGM6	rna-NM_198994.3	mRNA	2411267	2463113	+
gene-SNRPB	rna-NM_198216.2	mRNA	2501158	2492014	-
gene-ZNF343	rna-XM_054323987.1	mRNA	2555387	2512209	-
gene-ZNF343	rna-NM_001282495.1	mRNA	2554910	2512209	-
gene-ZNF343	rna-NM_001282498.2	mRNA	2539307	2512209	-
gene-ZNF343	rna-NM_001282499.3	mRNA	2539307	2522241	-
gene-LOC105372504	rna-XR_007089363.1	lnc_RNA	2574001	2564918	-
gene-TMC2	rna-NM_080751.3	mRNA	2566963	2674039	+
gene-TMC2	rna-XM_054322937.1	mRNA	2588553	2674608	+
gene-LOC124908099	rna-XR_007089367.1	lnc_RNA	2682980	2673931	-
gene-NOP56	rna-NM_006392.4	mRNA	2683092	2688859	+
gene-IDH3B	rna-NM_174855.4	mRNA	2694696	2688861	-
gene-IDH3B	rna-NM_001258384.3	mRNA	2694696	2689481	-
gene-IDH3B-DT	rna-NR_186432.1	lnc_RNA	2694754	2699934	+
gene-LOC105372507	rna-XR_007089365.1	lnc_RNA	2723068	2700758	-
gene-LOC105372507	rna-XR_007089366.1	lnc_RNA	2723068	2700928	-
gene-LOC105372507	rna-XR_007089364.1	lnc_RNA	2723079	2720326	-
gene-EBF4	rna-XM_054323774.1	mRNA	2723171	2790569	+
gene-EBF4	rna-NM_001395167.1	mRNA	2723236	2790569	+
gene-EBF4	rna-XM_054323773.1	mRNA	2723331	2790569	+
gene-EBF4	rna-XM_054323776.1	mRNA	2724093	2786186	+
gene-EBF4	rna-XM_054323775.1	mRNA	2738446	2790569	+
gene-CPXM1	rna-NM_001184699.2	mRNA	2831101	2824547	-
gene-C20orf141	rna-NM_001256538.2	mRNA	2845456	2846299	+
gene-C20orf141	rna-NM_080739.2	mRNA	2845480	2846299	+
gene-TMEM239	rna-XM_054322814.1	mRNA	2846367	2848533	+
gene-TMEM239	rna-NM_001318207.1	mRNA	2846776	2850755	+
gene-TMEM239	rna-NM_001167670.3	mRNA	2846838	2848533	+
gene-PCED1A	rna-NM_001271168.2	mRNA	2871824	2865987	-
gene-PCED1A	rna-XM_054323860.1	mRNA	2871368	2865987	-
gene-PCED1A	rna-XM_054323862.1	mRNA	2871328	2865987	-
gene-PCED1A	rna-XM_054323864.1	mRNA	2871328	2866861	-
gene-VPS16	rna-NM_022575.4	mRNA	2871418	2897577	+
gene-PTPRA	rna-NM_002836.4	mRNA	2895029	3069414	+
gene-PTPRA	rna-NM_001388321.1	mRNA	2904325	3069414	+
gene-GNRH2	rna-XM_054323379.1	mRNA	3069821	3076492	+
gene-GNRH2	rna-NM_001501.2	mRNA	3074367	3076492	+
gene-MRPS26	rna-XM_054323885.1	mRNA	3076797	3078995	+
gene-LOC101929098	rna-XR_007089368.1	lnc_RNA	3103177	3099652	-
gene-LOC101929098	rna-XR_007089369.1	lnc_RNA	3102519	3099652	-
gene-OXT	rna-XM_054323467.1	mRNA	3099763	3103414	+
gene-OXT	rna-NM_000915.4	mRNA	3102516	3103414	+
gene-AVP	rna-NM_000490.5	mRNA	3115622	3113453	-
gene-UBOX5-AS1	rna-NR_038395.1	lnc_RNA	3137810	3181766	+
gene-UBOX5	rna-NM_199415.3	mRNA	3190764	3138472	-
gene-FASTKD5	rna-NM_021826.5	mRNA	3190764	3177418	-
gene-LZTS3	rna-NM_001388193.1	mRNA	3204461	3193521	-
gene-LZTS3	rna-XM_054324275.1	mRNA	3204325	3193521	-
gene-LZTS3	rna-XM_054324273.1	mRNA	3204316	3193521	-
gene-LZTS3	rna-XM_054324277.1	mRNA	3204314	3193521	-
gene-LZTS3	rna-XM_054324276.1	mRNA	3204313	3193521	-
gene-LZTS3	rna-NM_001388191.1	mRNA	3199208	3193521	-
gene-LZTS3	rna-XM_054324274.1	mRNA	3199067	3193521	-
gene-LOC107985414	rna-XR_007089370.1	lnc_RNA	3204646	3209984	+
gene-DDRGK1	rna-NM_023935.3	mRNA	3235632	3221280	-
gene-ITPA	rna-XM_054323410.1	mRNA	3234473	3254809	+
gene-ITPA	rna-NM_001424409.1	mRNA	3235015	3254809	+
gene-ITPA	rna-NM_001324237.2	mRNA	3239626	3254809	+
gene-ITPA	rna-NM_001324240.2	mRNA	3240448	3258398	+
gene-ITPA	rna-NM_001424408.1	mRNA	3240448	3254809	+
gene-ITPA	rna-XM_054323412.1	mRNA	3240448	3251166	+
gene-SLC4A11	rna-XM_054324115.1	mRNA	3270504	3258366	-
gene-SLC4A11	rna-XM_054324114.1	mRNA	3270135	3258366	-
gene-SLC4A11	rna-XM_054324113.1	mRNA	3269808	3258366	-
gene-SLC4A11	rna-XM_054324109.1	mRNA	3269134	3258366	-
gene-SLC4A11	rna-NM_001400277.1	mRNA	3270504	3258371	-
gene-SLC4A11	rna-NM_001363745.2	mRNA	3270135	3258371	-
gene-SLC4A11	rna-NM_001400279.1	mRNA	3269694	3258371	-
gene-SLC4A11	rna-NM_001400280.1	mRNA	3269134	3258371	-
gene-SLC4A11	rna-NM_001174090.2	mRNA	3269132	3258371	-
gene-SLC4A11	rna-NM_032034.4	mRNA	3268672	3258371	-
gene-SLC4A11	rna-XM_054324111.1	mRNA	3269134	3259564	-
gene-SLC4A11	rna-XM_054324116.1	mRNA	3269134	3260084	-
gene-SLC4A11	rna-XM_054324117.1	mRNA	3269134	3261504	-
gene-DNAAF9	rna-XM_054323312.1	mRNA	3438587	3280251	-
gene-DNAAF9	rna-XM_054323314.1	mRNA	3338581	3280251	-
gene-DNAAF9	rna-XM_054323315.1	mRNA	3338447	3280251	-
gene-DNAAF9	rna-XM_054323313.1	mRNA	3438587	3318578	-
gene-LOC105372508	rna-XR_007089371.1	lnc_RNA	3461778	3447950	-
gene-LOC105372509	rna-XR_007089372.1	lnc_RNA	3449316	3451708	+
gene-ATRN	rna-NM_139321.3	mRNA	3501887	3682058	+
gene-ATRN	rna-NM_001323332.2	mRNA	3501887	3660228	+
gene-ATRN	rna-NM_139322.4	mRNA	3501887	3646984	+
gene-GFRA4	rna-NM_022139.4	mRNA	3694335	3690187	-
gene-GFRA4	rna-XM_054323832.1	mRNA	3694335	3691522	-
gene-ADAM33	rna-XM_054324050.1	mRNA	3712953	3698908	-
gene-ADAM33	rna-XM_054324054.1	mRNA	3712953	3702193	-
gene-ADAM33	rna-XM_054324053.1	mRNA	3712953	3702353	-
gene-ADAM33	rna-XM_054324057.1	mRNA	3712953	3703143	-
gene-ADAM33	rna-XM_054324058.1	mRNA	3712953	3703276	-
gene-ADAM33	rna-XM_054324060.1	mRNA	3712953	3703745	-
gene-SIGLEC1	rna-NM_023068.4	mRNA	3743543	3717910	-
gene-SIGLEC1	rna-NM_001367089.1	mRNA	3738177	3717910	-
gene-HSPA12B	rna-XM_054322931.1	mRNA	3763654	3784064	+
gene-HSPA12B	rna-XM_054322930.1	mRNA	3767362	3784064	+
gene-HSPA12B	rna-XM_054322933.1	mRNA	3767380	3782447	+
gene-HSPA12B	rna-XM_054322935.1	mRNA	3767380	3782352	+
gene-HSPA12B	rna-XM_054322934.1	mRNA	3775951	3784064	+
gene-ADISSP	rna-XM_054323584.1	mRNA	3798691	3784461	-
gene-SPEF1	rna-NM_015417.5	mRNA	3812387	3808444	-
gene-CENPB	rna-NM_001810.6	mRNA	3817679	3814790	-
gene-CDC25B	rna-NM_001287516.2	mRNA	3817890	3837036	+
gene-CDC25B	rna-NM_001287520.2	mRNA	3826730	3837036	+
gene-CDC25B	rna-NM_021873.4	mRNA	3827251	3837036	+
gene-CDC25B	rna-NM_001287524.2	mRNA	3830970	3837036	+
gene-LINC01730	rna-NR_109859.1	lnc_RNA	3839415	3843368	+
gene-AP5S1	rna-NM_001204446.2	mRNA	3851487	3859778	+
gene-MAVS	rna-NM_001385663.1	mRNA	3877777	3907054	+
gene-PANK2-AS1	rna-XR_007089373.1	lnc_RNA	3920098	3915921	-
gene-PANK2	rna-NM_024960.6	mRNA	3919716	3960810	+
gene-PANK2	rna-NM_153638.4	mRNA	3919858	3960810	+
gene-PANK2	rna-NM_001324192.1	mRNA	3919869	3939530	+
gene-PANK2	rna-NM_001324191.2	mRNA	3920322	3960810	+
gene-PANK2	rna-NM_153640.4	mRNA	3920751	3960810	+
gene-RNF24	rna-NM_001134337.3	mRNA	4046503	3958228	-
gene-RNF24	rna-XM_054322914.1	mRNA	4029152	3958228	-
gene-RNF24	rna-XM_054322913.1	mRNA	4009026	3958228	-
gene-SMOX	rna-NM_001270691.2	mRNA	4183412	4222030	+
gene-SMOX	rna-XM_054323545.1	mRNA	4189799	4222030	+
gene-SMOX	rna-XM_054323550.1	mRNA	4189805	4222030	+
gene-SMOX	rna-XM_054323546.1	mRNA	4189807	4222030	+
gene-SMOX	rna-XM_054323548.1	mRNA	4196848	4222030	+
gene-SMOX	rna-XM_054323551.1	mRNA	4196869	4222030	+
gene-SMOX	rna-XM_054323544.1	mRNA	4196873	4222030	+
gene-SMOX	rna-XM_054323547.1	mRNA	4207526	4222030	+
gene-SMOX	rna-XM_054323549.1	mRNA	4207540	4222030	+
gene-LOC124904861	rna-XR_007089374.1	lnc_RNA	4207243	4193147	-
gene-LINC01433	rna-NR_033917.1	lnc_RNA	4227393	4230256	+
gene-ADRA1D	rna-NM_000678.4	mRNA	4283626	4254949	-
gene-LOC124904862	rna-XR_007089375.1	lnc_RNA	4509750	4502756	-
gene-LOC105372510	rna-XR_007089376.1	lnc_RNA	4611334	4603530	-
gene-PRNP	rna-NM_001080123.3	mRNA	4725691	4740799	+
gene-PRND	rna-NM_012409.4	mRNA	4761118	4767677	+
gene-PRNT	rna-NR_024269.1	lnc_RNA	4779873	4770499	-
gene-LOC105372511	rna-XR_007089377.1	lnc_RNA	4818595	4816967	-
gene-RASSF2	rna-XM_054324283.1	mRNA	4863841	4819267	-
gene-RASSF2	rna-XM_054324289.1	mRNA	4862852	4819267	-
gene-RASSF2	rna-XM_054324279.1	mRNA	4862811	4819267	-
gene-RASSF2	rna-XM_054324286.1	mRNA	4862802	4819267	-
gene-RASSF2	rna-XM_054324287.1	mRNA	4862745	4819267	-
gene-RASSF2	rna-NM_170774.2	mRNA	4854391	4819267	-
gene-RASSF2	rna-XM_054324288.1	mRNA	4853495	4819267	-
gene-SLC23A2	rna-NM_203327.2	mRNA	5049740	4891819	-
gene-SLC23A2	rna-NM_005116.6	mRNA	5040931	4891819	-
gene-TMEM230	rna-NM_001330987.2	mRNA	5152502	5107834	-
gene-TMEM230	rna-NM_001009925.2	mRNA	5152502	5139271	-
gene-PCNA	rna-NM_002592.2	mRNA	5166039	5154375	-
gene-PCNA	rna-NM_182649.2	mRNA	5159380	5154375	-
gene-PCNA-AS1	rna-NR_028370.1	lnc_RNA	5159008	5159391	+
gene-CDS2	rna-NM_003818.4	mRNA	5166425	5237293	+
gene-CDS2	rna-XM_054324191.1	mRNA	5166425	5229245	+
gene-PROKR2	rna-XM_054322965.1	mRNA	5357888	5339784	-
gene-PROKR2	rna-NM_144773.4	mRNA	5357888	5340150	-
gene-LINC00658	rna-NR_038240.1	lnc_RNA	5486647	5472850	-
gene-LOC107985411	rna-XR_007089383.1	lnc_RNA	5521169	5504648	-
gene-LOC107985411	rna-XR_007089382.1	lnc_RNA	5512099	5504648	-
gene-LOC643406	rna-NR_029405.1	lnc_RNA	5512098	5518036	+
gene-LOC124904863	rna-XR_007089378.1	lnc_RNA	5526586	5528911	+
gene-LOC124904863	rna-XR_007089381.1	lnc_RNA	5526711	5528911	+
gene-LOC124904863	rna-XR_007089379.1	lnc_RNA	5526711	5528902	+
gene-LOC124904863	rna-XR_007089380.1	lnc_RNA	5526714	5543508	+
gene-LINC00654	rna-NR_015406.2	lnc_RNA	5545196	5536973	-
gene-LINC01729	rna-NR_109860.1	lnc_RNA	5550600	5548473	-
gene-GPCPD1	rna-NM_019593.5	mRNA	5651340	5585119	-
gene-LOC105372514	rna-XR_007089384.1	lnc_RNA	5748995	5744067	-
gene-SHLD1	rna-XM_054323075.1	mRNA	5790558	5904750	+
gene-SHLD1	rna-XM_054323079.1	mRNA	5790558	5813819	+
gene-SHLD1	rna-XM_054323076.1	mRNA	5790694	5816914	+
gene-SHLD1	rna-XM_054323077.1	mRNA	5790703	5813813	+
gene-SHLD1	rna-XM_054323074.1	mRNA	5790766	5904750	+
gene-SHLD1	rna-XM_054323078.1	mRNA	5790766	5861628	+
gene-SHLD1	rna-NM_001303479.2	mRNA	5790766	5813813	+
gene-CHGB	rna-NM_001819.3	mRNA	5951840	5965684	+
gene-TRMT6	rna-NM_001281467.2	mRNA	5990867	5977562	-
gene-MCM8	rna-NM_001281520.2	mRNA	5990986	6039281	+
gene-MCM8	rna-XM_054324138.1	mRNA	5990986	6025265	+
gene-MCM8	rna-XM_054324140.1	mRNA	5990986	6018328	+
gene-MCM8	rna-XM_054324139.1	mRNA	5990986	6018278	+
gene-MCM8-AS1	rna-NR_110101.1	lnc_RNA	6046130	6031105	-
gene-CRLS1	rna-NM_001323562.2	mRNA	6046247	6080372	+
gene-CRLS1	rna-NM_001323563.2	mRNA	6046432	6080372	+
gene-CRLS1	rna-XM_054323553.1	mRNA	6046432	6071681	+
gene-CRLS1	rna-XM_054323555.1	mRNA	6046432	6071677	+
gene-CRLS1	rna-NM_001323564.2	mRNA	6046976	6080372	+
gene-CRLS1	rna-NM_001323561.2	mRNA	6047558	6080372	+
gene-CRLS1	rna-XM_054323554.1	mRNA	6047585	6080372	+
gene-LRRN4	rna-NM_152611.5	mRNA	6094378	6080865	-
gene-FERMT1	rna-NM_017671.5	mRNA	6164612	6116427	-
gene-FERMT1	rna-XM_054323633.1	mRNA	6161091	6116427	-
gene-CASC20	rna-NR_109953.1	lnc_RNA	6467897	6569575	+
gene-LINC01713	rna-NR_146909.1	lnc_RNA	6777317	6771922	-
gene-LOC105372517	rna-XR_007089387.1	lnc_RNA	6808668	6806959	-
gene-BMP2	rna-NM_001200.4	mRNA	6808870	6821443	+
gene-LINC01428	rna-NR_110609.1	lnc_RNA	7295699	7187937	-
gene-LOC124908123	rna-XR_007089857.1	lnc_RNA	7299800	7298077	-
gene-LINC01751	rna-NR_135005.1	lnc_RNA	7348652	7343309	-
gene-LINC01706	rna-NR_110610.1	lnc_RNA	7388659	7409725	+
gene-LOC105372518	rna-XR_007089390.1	lnc_RNA	7739823	7766728	+
gene-LOC105372518-2	rna-XR_007089391.1	lnc_RNA	7743475	7745895	+
gene-HAO1	rna-NM_017545.3	mRNA	7982270	7924796	-
gene-TMX4	rna-NM_021156.4	mRNA	8061560	8019161	-
gene-TMX4-AS1	rna-NR_184034.1	lnc_RNA	8061705	8070428	+
gene-PLCB1	rna-NM_182734.3	mRNA	8174227	8928071	+
gene-PLCB1-IT1	rna-NR_046809.1	lnc_RNA	8290670	8291708	+
gene-LOC124904867	rna-XR_007089834.1	lnc_RNA	8619210	8606949	-
gene-LOC105372521	rna-XR_007089837.1	lnc_RNA	8686584	8673148	-
gene-LOC105372521	rna-XR_007089836.1	lnc_RNA	8698654	8681308	-
gene-LOC105372521	rna-XR_007089835.1	lnc_RNA	8686584	8681308	-
gene-LOC105372522	rna-XR_007089840.1	lnc_RNA	9005351	9012156	+
gene-LOC105372522	rna-XR_007089839.1	lnc_RNA	9005501	9012156	+
gene-PLCB4	rna-XM_054323515.1	mRNA	9111632	9523715	+
gene-PLCB4	rna-NM_001377142.1	mRNA	9112041	9523715	+
gene-PLCB4	rna-XM_054323516.1	mRNA	9187759	9523715	+
gene-PLCB4	rna-XM_054323518.1	mRNA	9313107	9523715	+
gene-PLCB4	rna-XM_054323513.1	mRNA	9323359	9523715	+
gene-PLCB4	rna-XM_054323519.1	mRNA	9343569	9523715	+
gene-PLCB4	rna-XM_054323521.1	mRNA	9351294	9523715	+
gene-PLCB4	rna-XM_054323520.1	mRNA	9376083	9523715	+
gene-PLCB4	rna-XM_054323522.1	mRNA	9408425	9523715	+
gene-PLCB4	rna-XM_054323523.1	mRNA	9415209	9523715	+
gene-PLCB4	rna-XM_054323524.1	mRNA	9445909	9523715	+
gene-LAMP5-AS1	rna-NR_109957.1	lnc_RNA	9557900	9548089	-
gene-LAMP5	rna-NM_012261.4	mRNA	9557492	9573426	+
gene-PAK5	rna-NM_177990.4	mRNA	9881977	9580272	-
gene-PAK5	rna-XM_054323729.1	mRNA	9808786	9580272	-
gene-PAK5	rna-XM_054323730.1	mRNA	9769248	9580272	-
gene-LOC105372523	rna-XR_007089849.1	lnc_RNA	9605844	9650073	+
